Date,Open,High,Low,Close,Volume,Adj Close,MA30,MA60,MA120,MA240
2003-08-12,12800.03,13350.04,12649.98,13199.99,714300,16292.53,16638.132333333306,16528.078333333353,15184.971499999985,15653.382666666654
2003-08-13,13300.02,13600.03,13149.98,13550.02,791500,16724.56,16619.61899999997,16574.36500000002,15190.628749999985,15649.525583333323
2003-08-14,13500.0,13500.0,13350.04,13500.0,542900,16662.83,16609.333666666636,16625.79300000002,15193.200166666653,15644.382791666656
2003-08-15,13500.0,13500.0,13500.0,13500.0,0,16662.83,16592.878333333305,16673.107000000018,15193.200166666653,15642.325874999988
2003-08-18,13550.02,13899.97,13350.04,13600.03,902500,16786.29,16559.96699999997,16688.53700000002,15191.143166666654,15643.35474999999
2003-08-19,14050.01,14300.01,13750.0,14050.01,1611000,17341.69,16545.56899999997,16720.42250000002,15199.886166666654,15638.72637499999
2003-08-20,14250.0,14650.04,14100.03,14300.01,2184800,17650.26,16557.912333333305,16751.279166666685,15216.343416666654,15642.326249999987
2003-08-21,14600.02,14600.02,14149.96,14499.99,1152600,17897.1,16580.541333333305,16787.278833333352,15243.600749999989,15647.98349999999
2003-08-22,14600.02,15249.98,14399.96,15050.0,1908400,18575.96,16625.798999999974,16837.679500000017,15278.057749999987,15656.469333333322
2003-08-25,15150.03,15499.98,15100.02,15300.0,1293300,18884.53,16671.056999999975,16884.99350000002,15319.71449999999,15673.440624999988
2003-08-26,15300.0,15749.98,15100.02,15150.03,871300,18699.43,16730.715999999975,16926.13750000002,15371.657666666655,15688.612166666657
2003-08-27,15249.98,15350.02,14949.97,15199.97,720200,18761.06,16808.884999999973,16970.36483333335,15434.914416666656,15707.64037499999
2003-08-28,14999.99,15300.0,14199.98,14399.96,1716900,17773.63,16854.13966666664,16991.963166666686,15495.497083333321,15726.154583333322
2003-08-29,14399.96,14949.97,14399.96,14850.02,792300,18329.13,16928.19666666664,17022.819833333353,15547.645666666653,15744.925999999987
